Protein,Gene_x,Protein_Description,chart,b_LnLM1,t12_LnLM1,b_LnLM2,t12_LnLM2,b_CFit,t12_CFit
Q63HM9,PLCXD3,PI-PLC X domain-containing protein 3,1,0.23945822983968842,2.894647559300805,0.23945822983968834,2.894647559300806,0.2378879592827258,2.9137547888085904
O14939,PLD2,Phospholipase D2,0,,,,,,
Q8IV08,PLD3,5'-3' exonuclease PLD3,1,0.3860517927256896,1.795477170734092,0.3860517927256895,1.7954771707340924,0.5087692239356071,1.3623999800893503
Q15149,PLEC,Plectin,1,0.22711535205283892,3.051960927760986,0.22711535205283892,3.051960927760986,0.2416445277240866,2.8684580076706365
Q9HB21,PLEKHA1,Pleckstrin homology domain-containing family A member 1,1,0.33262243783477385,2.0838858168199037,0.3326224378347739,2.0838858168199033,0.3749569815590881,1.848604545720973
Q9HB19,PLEKHA2,Pleckstrin homology domain-containing family A member 2,1,0.09509596930736612,7.288922817744013,0.09509596930736611,7.288922817744014,0.09534743038627827,7.269699642159399
Q9HB20,PLEKHA3,Pleckstrin homology domain-containing family A member 3,1,0.29251492960474557,2.3696130023057127,0.29251492960474557,2.3696130023057127,0.308635516146725,2.2458438653263215
Q9HAU0,PLEKHA5,Pleckstrin homology domain-containing family A member 5,1,0.13140813013706584,5.27476633170988,0.13140813013706584,5.27476633170988,0.13171759149491902,5.262373633568021
Q9Y2H5,PLEKHA6,Pleckstrin homology domain-containing family A member 6,1,0.32971325881927005,2.1022726930732527,0.32971325881927005,2.1022726930732527,0.41136960768164405,1.6849742120384519
Q6IQ23,PLEKHA7,Pleckstrin homology domain-containing family A member 7,0,,,,,,
Q96JA3,PLEKHA8,Pleckstrin homology domain-containing family A member 8,1,0.3211328532736918,2.158443689251554,0.3211328532736918,2.158443689251554,0.3724694569521065,1.8609503883403593
Q96CS7,PLEKHB2,Pleckstrin homology domain-containing family B member 2,1,0.2864435491144798,2.419838682709949,0.2864435491144798,2.419838682709949,0.35978421917938463,1.9265636000959492
A6NEE1,PLEKHD1,Pleckstrin homology domain-containing family D member 1,0,,,,,,
Q96S99,PLEKHF1,Pleckstrin homology domain-containing family F member 1,1,0.17875643686711,3.8776068303220903,0.17875643686710999,3.8776068303220907,0.159145322438022,4.3554354594988895
Q9H8W4,PLEKHF2,Pleckstrin homology domain-containing family F member 2,0,,,,,,
Q9ULL1,PLEKHG1,Pleckstrin homology domain-containing family G member 1,0,,,,,,
Q9H7P9,PLEKHG2,Pleckstrin homology domain-containing family G member 2,1,0.2556476944853856,2.7113374988780503,0.2556476944853856,2.7113374988780503,0.3391016805360376,2.0440688452627174
A1L390,PLEKHG3,Pleckstrin homology domain-containing family G member 3,1,0.25891258101220554,2.6771475447431783,0.25891258101220554,2.6771475447431783,0.3228307926704553,2.147091282173655
Q58EX7,PLEKHG4,Puratrophin-1,1,0.14631075524907428,4.737499846678776,0.1463107552490743,4.737499846678775,0.15561368220387292,4.454281723453069
Q96PX9,PLEKHG4B,Pleckstrin homology domain-containing family G member 4B,0,,,,,,
O94827,PLEKHG5,Pleckstrin homology domain-containing family G member 5,1,0.4971414088856646,1.3942656318121334,0.49714140888566455,1.3942656318121336,0.9529702468756822,0.7273544822962016
Q8IVE3,PLEKHH2,Pleckstrin homology domain-containing family H member 2,1,0.1650180092012794,4.200433540041588,0.1650180092012794,4.200433540041588,0.17111112675994838,4.050859775661233
Q7Z736,PLEKHH3,Pleckstrin homology domain-containing family H member 3,1,0.29888392980122763,2.3191182644745134,0.29888392980122763,2.3191182644745134,0.3902688065596593,1.7760763066622027
Q9NW61,PLEKHJ1,Pleckstrin homology domain-containing family J member 1,1,0.20186625049853726,3.4336952256661046,0.20186625049853724,3.433695225666105,0.25679233750426794,2.699251805161145
Q9Y4G2,PLEKHM1,Pleckstrin homology domain-containing family M member 1,0,,,,,,
Q8IWE5,PLEKHM2,Pleckstrin homology domain-containing family M member 2,1,0.2343367319941343,2.95791092869425,0.23433673199413432,2.9579109286942495,0.2405641578110359,2.8813402082300854
Q6ZWE6,PLEKHM3,Pleckstrin homology domain-containing family M member 3,1,0.3442899029021879,2.0132660723334284,0.34428990290218786,2.013266072333429,0.7733470896637142,0.8962950657270289
Q53GL0,PLEKHO1,Pleckstrin homology domain-containing family O member 1,1,0.3464021433925958,2.000989871977683,0.3464021433925958,2.000989871977683,0.549194176409723,1.2621167709593974
Q8TD55,PLEKHO2,Pleckstrin homology domain-containing family O member 2,1,0.18484604742879276,3.7498620619786993,0.18484604742879276,3.7498620619786993,0.18929369420354328,3.6617552606618773
Q9HBL7,PLGRKT,Plasminogen receptor (KT),1,0.032561457765892296,21.287351000789897,0.032561457765892296,21.287351000789897,0.03319350253881505,20.882013874534902
Q99541,PLIN2,Perilipin-2,1,0.11903189285432676,5.823205562296069,0.11903189285432676,5.823205562296069,0.1197374852703489,5.788890413014146
O60664,PLIN3,Perilipin-3,1,0.1826135747299373,3.7957045722642664,0.1826135747299373,3.7957045722642664,0.17635054972956435,3.9305076259920635
P53350,PLK1,Serine/threonine-protein kinase PLK1,1,0.12415845465514289,5.582762627685732,0.12415845465514289,5.582762627685732,0.12900609075617334,5.372980271683615
Q02809,PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",1,0.16327409148740848,4.24529803991223,0.16327409148740848,4.24529803991223,0.17360262438209098,3.992722938533244
O00469,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",1,0.18188501601552473,3.8109086484660284,0.18188501601552473,3.8109086484660284,0.1779464839625156,3.8952564002667036
O60568,PLOD3,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3,1,0.15754886990481967,4.399569358883359,0.15754886990481964,4.39956935888336,0.15843588822096336,4.374937953408916
P60201,PLP1,Myelin proteolipid protein,0,,,,,,
O94903,PLPBP,Pyridoxal phosphate homeostasis protein,1,0.10050684255037268,6.896517321321175,0.10050684255037268,6.896517321321175,0.09983592831348166,6.942863078144423
O14494,PLPP1,Phospholipid phosphatase 1,1,0.17048109195784367,4.065830248971809,0.17048109195784367,4.065830248971809,0.17811625338302442,3.891543682256717
O14495,PLPP3,Phospholipid phosphatase 3,0,,,,,,
Q8IY26,PLPP6,Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6,1,0.17596964848427837,3.939015543478073,0.17596964848427837,3.939015543478073,0.18578253845891513,3.73095978938425
Q8TBJ4,PLPPR1,Phospholipid phosphatase-related protein type 1,1,0.13694665294548644,5.0614393681885925,0.13694665294548644,5.0614393681885925,0.1438992927275283,4.816890808993841
Q96GM1,PLPPR2,Phospholipid phosphatase-related protein type 2,1,0.14310673442370142,4.8435678680761365,0.14310673442370142,4.8435678680761365,0.1649107368812301,4.203165868206355
Q6T4P5,PLPPR3,Phospholipid phosphatase-related protein type 3,1,0.17532038368991307,3.9536029181062364,0.17532038368991307,3.9536029181062364,0.19958720510059605,3.4729038878548595
O43660,PLRG1,Pleiotropic regulator 1,1,0.23745799372867982,2.9190307290810233,0.23745799372867987,2.9190307290810225,0.2418780203032934,2.8656889935298824
Q14651,PLS1,Plastin-1,0,,,,,,
P13797,PLS3,Plastin-3,1,0.12748699987485376,5.437002841390618,0.12748699987485376,5.437002841390618,0.12937635509073475,5.357603250407113
Q9NRY6,PLSCR3,Phospholipid scramblase 3,1,0.15740598006360382,4.403563195501606,0.15740598006360382,4.403563195501606,0.17575476441213692,3.9438315250137217
P55058,PLTP,Phospholipid transfer protein,0,,,,,,
Q6UX71,PLXDC2,Plexin domain-containing protein 2,1,0.3963436747688499,1.7488538979818287,0.3963436747688499,1.7488538979818287,0.5742365183898257,1.2070761060330126
Q9UIW2,PLXNA1,Plexin-A1,1,0.15392163831959116,4.5032471595757535,0.15392163831959116,4.5032471595757535,0.16230226293568187,4.27071790634632
O75051,PLXNA2,Plexin-A2,1,0.11314631086926728,6.126113836454012,0.11314631086926728,6.126113836454012,0.11807488358705198,5.870403251754341
P51805,PLXNA3,Plexin-A3,1,0.1956619643410743,3.5425749858652344,0.1956619643410743,3.5425749858652344,0.2180022727123309,3.179541075127235
Q9HCM2,PLXNA4,Plexin-A4,1,0.15992928819990085,4.334085322092836,0.15992928819990085,4.334085322092836,0.17339240748540008,3.997563622376657
O43157,PLXNB1,Plexin-B1,1,0.11858523049674251,5.845139210476854,0.11858523049674251,5.845139210476854,0.17616615827185045,3.934621651283992
O15031,PLXNB2,Plexin-B2,1,0.12180360845021018,5.690694958707105,0.12180360845021018,5.690694958707105,0.12589812257690997,5.505619673847863
O60486,PLXNC1,Plexin-C1,1,0.14983293875857928,4.626133521126418,0.14983293875857928,4.626133521126418,0.1422050171101723,4.8742807718446
Q9Y4D7,PLXND1,Plexin-D1,0,,,,,,
Q8IYS1,PM20D2,Xaa-Arg dipeptidase,1,0.1434566916533631,4.831752165558152,0.1434566916533631,4.831752165558152,0.15976375112125987,4.338576026759976
Q6P1K2,PMF1,Polyamine-modulated factor 1,1,0.19376960156095052,3.5771719349999014,0.19376960156095052,3.5771719349999014,0.25546452630248306,2.713281529112279
Q8TBY8,PMFBP1,Polyamine-modulated factor 1-binding protein 1,0,,,,,,
P29590,PML,Protein PML,1,0.191102448980067,3.627097320098939,0.191102448980067,3.627097320098939,0.21821844270400392,3.1763913809069964
Q92871,PMM1,Phosphomannomutase 1,1,0.2969858539860621,2.3339400555841814,0.2969858539860621,2.3339400555841814,0.3425731988197379,2.0233549587300885
O15305,PMM2,Phosphomannomutase 2,1,0.0862970533550667,8.032107164864732,0.0862970533550667,8.032107164864732,0.08817286074052766,7.861230482242344
Q10713,PMPCA,Mitochondrial-processing peptidase subunit alpha,1,0.11128876073912804,6.228366422236936,0.11128876073912804,6.228366422236936,0.11363146184806631,6.099958315125211
O75439,PMPCB,Mitochondrial-processing peptidase subunit beta,1,0.15783048524656854,4.391719251683764,0.1578304852465685,4.391719251683765,0.16505184976164694,4.199572325671758
P54277,PMS1,PMS1 protein homolog 1,1,0.23506466753149574,2.948751030254567,0.23506466753149574,2.948751030254567,0.3026493120107868,2.2902651783832257
P54278,PMS2,Mismatch repair endonuclease PMS2,1,0.2754196938107485,2.516694325556231,0.2754196938107485,2.516694325556231,0.2922874038099702,2.371457584298066
Q68D20,PMS2CL,Protein PMS2CL,1,0.21403608865606705,3.2384593874435734,0.21403608865606705,3.2384593874435734,0.23446935122802195,2.9562378917740006
A4D2B8,PMS2P1,Putative postmeiotic segregation increased 2-like protein 1,0,,,,,,
Q15126,PMVK,Phosphomevalonate kinase,1,0.15223207222952778,4.553226993552667,0.15223207222952778,4.553226993552667,0.15211562662890105,4.556712521396218
Q6P2M8,PNCK,Calcium/calmodulin-dependent protein kinase type 1B,1,0.6998488299848991,0.9904241471331768,0.6998488299848991,0.9904241471331768,1.4605770369693507,0.47457077786064805
Q8TF01,PNISR,Arginine/serine-rich protein PNISR,1,0.21145694554319214,3.27795891867909,0.21145694554319214,3.27795891867909,0.22000990990241706,3.1505270870179576
Q8N490,PNKD,Probable hydrolase PNKD,1,0.15954418155542457,4.344546907335198,0.15954418155542457,4.344546907335198,0.16245362578878575,4.266738752024786
Q96T60,PNKP,Bifunctional polynucleotide phosphatase/kinase,1,0.14974414367776223,4.628876719556687,0.1497441436777622,4.628876719556688,0.15198621905234883,4.560592301603369
Q8ND90,PNMA1,Paraneoplastic antigen Ma1,1,0.42768898877752926,1.6206804447811007,0.4276889887775293,1.6206804447811005,1.0229543962603038,0.6775934324090486
Q9UL42,PNMA2,Paraneoplastic antigen Ma2,1,0.17376378558235508,3.989019796253398,0.17376378558235514,3.9890197962533973,0.19789616604891094,3.502580137851841
Q9UL41,PNMA3,Paraneoplastic antigen Ma3,1,0.3428188541803874,2.0219050735033934,0.34281885418038743,2.021905073503393,0.5252065756807941,1.3197610476629311
P0CW24,PNMA6A,Paraneoplastic antigen-like protein 6A,1,0.34488265593483053,2.0098058531853895,0.34488265593483053,2.0098058531853895,0.9425453189497242,0.7353993135654394
A0A0J9YX94,PNMA6F,Paraneoplastic antigen Ma6F,0,,,,,,
Q86V59,PNMA8A,Paraneoplastic antigen-like protein 8A,1,0.3062378504411357,2.2634275272030107,0.3062378504411357,2.2634275272030107,0.6417164574129783,1.080145557360809
Q9ULN7,PNMA8B,Paraneoplastic antigen-like protein 8B,1,0.40969663687678337,1.6918546997211743,0.40969663687678337,1.6918546997211743,0.8840565082028591,0.7840530261679755
A0A1B0GUJ8,PNMA8C,Paraneoplastic antigen-like protein 8C,1,0.36367771440268976,1.9059380135469164,0.36367771440268976,1.9059380135469164,1.1253794265812778,0.615923095969166
Q9H307,PNN,Pinin,1,0.15782125247717968,4.391976173552238,0.15782125247717968,4.391976173552238,0.16930574915173963,4.094055777980196
Q9NRX1,PNO1,RNA-binding protein PNO1,1,0.24824470538481572,2.7921932090574315,0.24824470538481574,2.7921932090574315,0.29497937978087796,2.349815709405999
P00491,PNP,Purine nucleoside phosphorylase,1,0.09394765383420457,7.3780148015530695,0.09394765383420457,7.3780148015530695,0.09573136985102472,7.24054384303293
P41247,PNPLA4,Patatin-like phospholipase domain-containing protein 4,1,0.08523632728526309,8.13206296700429,0.08523632728526309,8.13206296700429,0.08570326101508248,8.087757365941558
Q8IY17,PNPLA6,Patatin-like phospholipase domain-containing protein 6,1,0.32833936406198483,2.1110693886496383,0.32833936406198483,2.1110693886496383,0.4090750949960392,1.6944252755515623
Q9NP80,PNPLA8,Calcium-independent phospholipase A2-gamma,1,0.15956089617984412,4.344091799150375,0.15956089617984412,4.344091799150375,0.17353970859510964,3.9941704764362975
Q9NVS9,PNPO,Pyridoxine-5'-phosphate oxidase,1,0.1498125732848616,4.626762396250669,0.1498125732848616,4.626762396250669,0.14990467469256552,4.623919714188351
Q8TCS8,PNPT1,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",1,0.08222703840106024,8.429674642775506,0.08222703840106024,8.429674642775506,0.08271879522126414,8.379560881004721
Q8NA72,POC5,Centrosomal protein POC5,1,0.3451070693806253,2.008498932820932,0.34510706938062535,2.008498932820932,0.5250556705013311,1.3201403574941262
O00592,PODXL,Podocalyxin,1,0.056444119652113725,12.28023724760119,0.056444119652113725,12.28023724760119,0.05765981553121913,12.021321507430944
Q9NZ53,PODXL2,Podocalyxin-like protein 2,1,0.28622990673857696,2.4216448534604704,0.28622990673857696,2.4216448534604704,0.3084387960019346,2.2472762491123124
Q8WVV4,POF1B,Protein POF1B,1,0.08294941616337329,8.356263523238729,0.08294941616337329,8.356263523238729,0.07616601453882266,9.10047853700735
Q9H488,POFUT1,GDP-fucose protein O-fucosyltransferase 1,1,0.08797449968081363,7.878955641405186,0.08797449968081363,7.878955641405186,0.0869366738440198,7.973012422853643
Q9Y2G5,POFUT2,GDP-fucose protein O-fucosyltransferase 2,1,0.11375048825372679,6.093575431639836,0.11375048825372679,6.093575431639836,0.1111931917880566,6.233719613707474
Q9P215,POGK,Pogo transposable element with KRAB domain,1,0.2883104138382261,2.4041697673427684,0.2883104138382261,2.4041697673427684,0.4224987266725519,1.6405899871436853
Q8NBL1,POGLUT1,Protein O-glucosyltransferase 1,1,0.09991290077629529,6.9375143267224315,0.09991290077629529,6.9375143267224315,0.3008713799661598,2.303798987587009
Q6UW63,POGLUT2,Protein O-glucosyltransferase 2,1,0.10772379225097022,6.434485512217033,0.10772379225097019,6.434485512217035,0.10830164902813677,6.400153522868942
Q7Z4H8,POGLUT3,Protein O-glucosyltransferase 3,1,0.1267864913630031,5.467042845876946,0.1267864913630031,5.467042845876946,0.129701340579442,5.3441789997181495
Q7Z3K3,POGZ,Pogo transposable element with ZNF domain,1,0.23139124673571898,2.9955635329266186,0.23139124673571898,2.9955635329266186,0.2553560401766549,2.714434246710699
P09884,POLA1,DNA polymerase alpha catalytic subunit,1,0.13438897369147657,5.157768241844288,0.13438897369147657,5.157768241844288,0.14575917525462337,4.755427432606574
Q14181,POLA2,DNA polymerase alpha subunit B,1,0.13332776111464054,5.198821121461341,0.1333277611146405,5.198821121461342,0.15207003257578022,4.558078727408262
P06746,POLB,DNA polymerase beta,1,0.2303469669373153,3.009143943920792,0.2303469669373153,3.009143943920792,0.24211716038783446,2.8628585410865965
P28340,POLD1,DNA polymerase delta catalytic subunit,1,0.07432530541713166,9.325857144748145,0.07432530541713166,9.325857144748145,0.07763954666674958,8.927759245364026
P49005,POLD2,DNA polymerase delta subunit 2,1,0.11815788039675097,5.866279745646191,0.11815788039675097,5.866279745646191,0.1526276695751953,4.5414254341245215
Q15054,POLD3,DNA polymerase delta subunit 3,1,0.09140411257997803,7.583325968549236,0.09140411257997805,7.583325968549234,0.09453090724851572,7.332492628444849
Q9Y2S7,POLDIP2,Polymerase delta-interacting protein 2,1,0.20590709629389392,3.3663103071037783,0.20590709629389392,3.3663103071037783,0.23823564564572136,2.9095023907157866
Q9BY77,POLDIP3,Polymerase delta-interacting protein 3,1,0.3518567328959634,1.9699699217206517,0.3518567328959634,1.9699699217206517,0.5011279694746642,1.383174005008294
Q07864,POLE,DNA polymerase epsilon catalytic subunit A,1,0.15045538190729962,4.6069949228337705,0.15045538190729962,4.6069949228337705,0.17422327776159952,3.978499253747375
P56282,POLE2,DNA polymerase epsilon subunit 2,1,0.09003975635207222,7.698234742546512,0.0900397563520722,7.6982347425465125,0.09174456591232827,7.555185134586843
Q9NRF9,POLE3,DNA polymerase epsilon subunit 3,1,0.25469427792370214,2.7214870558167346,0.25469427792370214,2.7214870558167346,0.36926344043493464,1.8771075190750706
Q9NR33,POLE4,DNA polymerase epsilon subunit 4,1,0.397194643550998,1.7451070698312383,0.397194643550998,1.7451070698312383,0.8079402407071485,0.8579188727538428
P54098,POLG,DNA polymerase subunit gamma-1,1,0.15962892946327314,4.342240362636912,0.15962892946327314,4.342240362636912,0.16641994192688228,4.16504880685804
Q9UHN1,POLG2,"DNA polymerase subunit gamma-2, mitochondrial",1,0.17768816928068373,3.9009191403453585,0.17768816928068368,3.9009191403453594,0.5403654528768919,1.2827377784231901
Q9UNA4,POLI,DNA polymerase iota,1,0.23936527177371958,2.8957717024849026,0.23936527177371955,2.8957717024849026,0.2513347582882132,2.757864392815467
Q9UBT6,POLK,DNA polymerase kappa,1,0.16687240387130658,4.153755590975403,0.16687240387130658,4.153755590975403,0.2052185010137852,3.377605708724012
Q9UGP5,POLL,DNA polymerase lambda,0,,,,,,
Q9NP87,POLM,DNA-directed DNA/RNA polymerase mu,0,,,,,,
O95602,POLR1A,DNA-directed RNA polymerase I subunit RPA1,1,0.190900801512792,3.6309286030603616,0.190900801512792,3.6309286030603616,0.20510698004019773,3.379442183898858
Q9H9Y6,POLR1B,DNA-directed RNA polymerase I subunit RPA2,1,0.18579018379006826,3.7308062590818034,0.18579018379006826,3.7308062590818034,0.22453325229565071,3.087058034714851
O15160,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,1,0.1773774131592873,3.9077533504082047,0.1773774131592873,3.9077533504082047,0.29351423636244117,2.3615453517696636
P0DPB6,POLR1D,DNA-directed RNA polymerases I and III subunit RPAC2,1,0.19299003100813905,3.5916216860481924,0.19299003100813905,3.5916216860481924,0.20827752116485299,3.327998032064703
P0DPB5,POLR1D,"Protein POLR1D, isoform 2",0,,,,,,
Q9GZS1,POLR1E,DNA-directed RNA polymerase I subunit RPA49,1,0.16840898588533645,4.115856270471719,0.16840898588533645,4.115856270471719,0.1897959795026398,3.652064613677997
Q3B726,POLR1F,DNA-directed RNA polymerase I subunit RPA43,1,0.2135925676007322,3.2451839890592202,0.21359256760073222,3.24518398905922,0.23697681108613322,2.924957836098188
O15446,POLR1G,DNA-directed RNA polymerase I subunit RPA34,1,0.08054212777424365,8.60602022463088,0.08054212777424366,8.606020224630878,0.08186859755460046,8.466581830691139
P24928,POLR2A,DNA-directed RNA polymerase II subunit RPB1,1,0.2873914221846573,2.411857581868182,0.2873914221846573,2.411857581868182,0.4586141848827183,1.5113949882234983
P30876,POLR2B,DNA-directed RNA polymerase II subunit RPB2,1,0.21906441863910128,3.1641248947044835,0.2190644186391013,3.164124894704483,0.26011012463176736,2.6648219923819565
P19387,POLR2C,DNA-directed RNA polymerase II subunit RPB3,1,0.13452226676278614,5.152657602642297,0.13452226676278614,5.152657602642297,0.1420338947863296,4.8801533014544844
O15514,POLR2D,DNA-directed RNA polymerase II subunit RPB4,1,0.2780671908667617,2.4927327039171363,0.2780671908667617,2.4927327039171363,0.28713306170600505,2.4140277557784593
P19388,POLR2E,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",1,0.20210791316982965,3.429589518236722,0.20210791316982965,3.429589518236722,0.23558243044014576,2.9422702672050605
P61218,POLR2F,"DNA-directed RNA polymerases I, II, and III subunit RPABC2",1,0.17911153343332842,3.86991930264479,0.1791115334333284,3.8699193026447904,0.19454810524669436,3.5628575240093365
P62487,POLR2G,DNA-directed RNA polymerase II subunit RPB7,1,0.2637476557196589,2.62806954120078,0.2637476557196589,2.62806954120078,0.2582327292184741,2.6841956968727927
P52434,POLR2H,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",1,0.14191571803659847,4.8842171265426035,0.14191571803659847,4.8842171265426035,0.14353646269164536,4.829066897440621
P36954,POLR2I,DNA-directed RNA polymerase II subunit RPB9,1,0.2884524935839077,2.40298557293739,0.2884524935839077,2.40298557293739,0.3042728473607471,2.2780448093619974
P52435,POLR2J,DNA-directed RNA polymerase II subunit RPB11-a,1,0.1526827600053286,4.539786813755231,0.1526827600053286,4.539786813755231,0.15402402807514923,4.500253559280729
P53803,POLR2K,"DNA-directed RNA polymerases I, II, and III subunit RPABC4",1,0.4210746377078712,1.6461385191307338,0.4210746377078712,1.6461385191307338,1.312895371435853,0.5279530994171167
P62875,POLR2L,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",1,0.30146165498940714,2.2992880490366225,0.30146165498940714,2.2992880490366225,0.2678216301502036,2.5880926054075784
Q6EEV4,POLR2M,"DNA-directed RNA polymerase II subunit GRINL1A, isoforms 4/5",1,0.19891662360139306,3.4846116328061933,0.19891662360139306,3.4846116328061933,0.22118767211794518,3.1337514153606825
P0CAP2,POLR2M,DNA-directed RNA polymerase II subunit GRINL1A,1,0.1851803672422601,3.7430921586473764,0.1851803672422601,3.7430921586473764,0.18358194808438374,3.7756826735564384
O14802,POLR3A,DNA-directed RNA polymerase III subunit RPC1,1,0.1450798614133605,4.777693980455601,0.1450798614133605,4.777693980455601,0.15434820889172135,4.490801581288211
Q9NW08,POLR3B,DNA-directed RNA polymerase III subunit RPC2,1,0.14899667252879567,4.652098391163634,0.14899667252879567,4.652098391163634,0.1546529133668623,4.481953591884076
Q9BUI4,POLR3C,DNA-directed RNA polymerase III subunit RPC3,1,0.18687482555974322,3.709152254637683,0.18687482555974322,3.709152254637683,0.20757699590697976,3.339229270234555
P05423,POLR3D,DNA-directed RNA polymerase III subunit RPC4,1,0.21903296741132489,3.16457923550054,0.21903296741132489,3.16457923550054,0.2275282172997825,3.046422939475155
Q9NVU0,POLR3E,DNA-directed RNA polymerase III subunit RPC5,1,0.20724809630061047,3.3445285767766233,0.20724809630061047,3.3445285767766233,0.2219487137300008,3.1230060715880263
Q9H1D9,POLR3F,DNA-directed RNA polymerase III subunit RPC6,1,0.21046584334234048,3.293395116054451,0.21046584334234048,3.293395116054451,0.22987821054060772,3.0152800429838984
O15318,POLR3G,DNA-directed RNA polymerase III subunit RPC7,0,,,,,,
Q9BT43,POLR3GL,DNA-directed RNA polymerase III subunit RPC7-like,0,,,,,,
Q9Y535,POLR3H,DNA-directed RNA polymerase III subunit RPC8,1,0.11163239445156822,6.2091938810885905,0.11163239445156824,6.20919388108859,0.1169828036833313,5.925205745934013
Q9Y2Y1,POLR3K,DNA-directed RNA polymerase III subunit RPC10,1,0.17448019471332854,3.9726410306842452,0.1744801947133285,3.9726410306842457,0.19049193911560267,3.638721847118682
O00411,POLRMT,"DNA-directed RNA polymerase, mitochondrial",1,0.15117078373136733,4.585192743272919,0.15117078373136733,4.585192743272919,0.16766537796614275,4.13411038682008
Q96HA1,POM121,Nuclear envelope pore membrane protein POM 121,1,0.35133687921183554,1.972884776898181,0.35133687921183554,1.972884776898181,0.3656352094944134,1.8957342251540903
Q96KW2,POM121L2,POM121-like protein 2,1,0.03435106031509493,20.17833435713059,0.034351060315094925,20.178334357130595,0.034579856939269606,20.04482499095573
Q8WZA1,POMGNT1,"Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1",1,0.1511446227119776,4.585986375981182,0.1511446227119776,4.585986375981182,0.15601315815398892,4.442876413512452
Q8NAT1,POMGNT2,"Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2",1,0.10796782099878488,6.419942295285799,0.10796782099878487,6.4199422952858,0.10808419117693155,6.41303018519404
Q9H5K3,POMK,Protein O-mannose kinase,1,0.24202891142405256,2.8639024010875302,0.24202891142405256,2.8639024010875302,0.27428763784071003,2.5270813734685484
Q9Y244,POMP,Proteasome maturation protein,1,0.3484513038343613,1.989222519567433,0.3484513038343613,1.989222519567433,1.1221570370376415,0.6176917825955713
Q9Y6A1,POMT1,Protein O-mannosyl-transferase 1,1,0.21396541698953842,3.2395290337682745,0.21396541698953842,3.2395290337682745,0.21409860846232118,3.237513711734054
Q9UKY4,POMT2,Protein O-mannosyl-transferase 2,1,0.08273911358064767,8.377503100565843,0.08273911358064766,8.377503100565844,0.08213135011630648,8.439495753794102
Q15165,PON2,Serum paraoxonase/arylesterase 2,1,0.052550166263508766,13.190199572047252,0.052550166263508766,13.190199572047252,0.05234211178430513,13.24262925073242
Q99575,POP1,Ribonucleases P/MRP protein subunit POP1,1,0.06472315276394945,10.709416197444968,0.06472315276394944,10.70941619744497,0.06464957360710692,10.721604828709152
O95707,POP4,Ribonuclease P protein subunit p29,1,0.08167858324558283,8.486278201910787,0.0816785832455828,8.48627820191079,0.08382703261104549,8.26877868594161
Q969H6,POP5,Ribonuclease P/MRP protein subunit POP5,1,0.07924891243165143,8.746456693115544,0.07924891243165143,8.746456693115544,0.08144876816084042,8.510223005351751
O75817,POP7,Ribonuclease P protein subunit p20,1,0.1563584119556907,4.433066132421269,0.1563584119556907,4.433066132421269,0.16238075430502716,4.268653533028243
P16435,POR,NADPH--cytochrome P450 reductase,1,0.14773223109082165,4.691915741351106,0.14773223109082165,4.691915741351106,0.15932420556560434,4.350545343058564
Q9H237,PORCN,Protein-serine O-palmitoleoyltransferase porcupine,1,0.10643505218165808,6.5123957413664435,0.10643505218165807,6.512395741366444,0.11399008357732907,6.080767368590665
Q15063,POSTN,Periostin,0,,,,,,
Q9NUX5,POT1,Protection of telomeres protein 1,1,0.1464083161200713,4.734342958985244,0.14640831612007127,4.734342958985245,0.1515421596091793,4.573956068380852
A5A3E0,POTEF,POTE ankyrin domain family member F,1,0.043907543034328776,15.786517137112716,0.043907543034328776,15.786517137112716,0.04450311299180819,15.575251571447032
P0CG38,POTEI,POTE ankyrin domain family member I,1,0.23865196825127374,2.9044268339330817,0.23865196825127372,2.9044268339330817,0.3433487415436958,2.0187846835947494
P14859,POU2F1,"POU domain, class 2, transcription factor 1",1,0.2058829690160044,3.3667048026010504,0.2058829690160044,3.3667048026010504,0.221298834137849,3.132177280826422
Q03052,POU3F1,"POU domain, class 3, transcription factor 1",0,,,,,,
P20265,POU3F2,"POU domain, class 3, transcription factor 2",1,0.08039497530696472,8.62177241691244,0.08039497530696472,8.62177241691244,0.08789889517101167,7.885732570487866
P20264,POU3F3,"POU domain, class 3, transcription factor 3",1,0.18114824812866528,3.8264084125595264,0.18114824812866534,3.826408412559525,0.24638254792976697,2.813296584454235
P78424,POU6F2,"POU domain, class 6, transcription factor 2",0,,,,,,
Q15181,PPA1,Inorganic pyrophosphatase,1,0.12603867458984694,5.499480082725194,0.12603867458984694,5.499480082725194,0.1299158007619477,5.335357027356813
