,gene,UniProtID,pDesc,pLength,pMass,subLoc,abundanceLevel,avgCopyN
3981,IP6K1,Q92551,Inositol hexakisphosphate kise 1,441,50236,Cytoplasm; Nucleus,Medium,
3982,IP6K2,Q9UHH9,Inositol hexakisphosphate kise 2,426,49186,Nucleus,Medium,
3983,IPO11,Q9UI26,Importin-11,975,112535,Cytoplasm; Nucleus,High,
3984,IPO13,O94829,Importin-13,963,108195,Cytoplasm; Nucleus,Low,1159.8907563787607
3985,IPO4,Q8TEX9,Importin-4,1081,118715,Cytoplasm; Nucleus,Medium,14851.891743150481
3986,IPO5,O00410,Importin-5,1097,123630,"Cytoplasm; Nucleus; Nucleus, nucleolus",High,74807.15574723281
3987,IPO7,O95373,Importin-7,1038,119517,Cytoplasm; Nucleus,High,55925.3862947499
3988,IPO8,O15397,Importin-8,1037,119938,Cytoplasm; Nucleus,Very Low,547.95484986465
3989,IPO9,Q96P70,Importin-9,1041,115963,Cytoplasm; Nucleus,Medium,40935.343671063834
3990,IPP,Q9Y573,Actin-binding protein IPP,584,65261,"Cytoplasm, cytoskeleton",Very Low,
3991,IQCA1L,A6NCM1,IQ and AAA domain-containing protein 1-like (IQ and AAA domain-containing protein 1 pseudogene 1),818,95061,,High,
3992,IQCB1,Q15051,IQ calmodulin-binding motif-containing protein 1,598,68929,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole",Medium,
3993,IQCE,Q6IPM2,IQ domain-containing protein E,695,77298,"Cell projection, cilium membrane",Very Low,
3994,IQCG,Q9H095,Dynein regulatory complex protein 9 (IQ domain-containing protein G),443,51918,"Cytoplasm; Cell projection, cilium, flagellum; Cell projection, cilium; Cytoplasm, cytoskeleton; Cytoplasm, cytoskeleton, flagellum axoneme",Low,4210.60321101271
3995,IQGAP1,P46940,Ras GTPase-activating-like protein IQGAP1,1657,189252,Cell membrane; Nucleus; Cytoplasm; Apical cell membrane; Basolateral cell membrane,Low,4116.373830644065
3996,IQGAP2,Q13576,Ras GTPase-activating-like protein IQGAP2,1575,180578,,Low,1171.6136072415613
3997,IQGAP3,Q86VI3,Ras GTPase-activating-like protein IQGAP3,1631,184699,,Medium,
3998,IQSEC1,Q6DN90,IQ motif and SEC7 domain-containing protein 1,963,108314,"Cytoplasm; Nucleus; Postsynaptic density; Cytoplasmic vesicle, secretory vesicle, synaptic vesicle",Low,7603.8972849024085
3999,IQSEC2,Q5JU85,IQ motif and SEC7 domain-containing protein 2,1488,162784,Cytoplasm,Very Low,
4000,IQSEC3,Q9UPP2,IQ motif and SEC7 domain-containing protein 3,1182,127621,Cytoplasm; Postsynaptic density,Medium,
4001,IRAK1,P51617,Interleukin-1 receptor-associated kise 1,712,76537,Cytoplasm; Nucleus; Lipid droplet,Very Low,245.9528816485033
4002,IRAK4,Q9NWZ3,Interleukin-1 receptor-associated kise 4,460,51530,Cytoplasm,Very Low,
4003,IREB2,P48200,Iron-responsive element-binding protein 2,963,105059,Cytoplasm,Medium,
4004,IRF2BP1,Q8IU81,Interferon regulatory factor 2-binding protein 1,584,61688,Nucleus,Low,2737.2787258893914
4005,IRF2BP2,Q7Z5L9,Interferon regulatory factor 2-binding protein 2,587,61025,Cytoplasm; Nucleus,Low,1267.1684619362195
4006,IRF2BPL,Q9H1B7,Probable E3 ubiquitin-protein ligase IRF2BPL,796,82659,Nucleus,Medium,15213.361378119134
4007,IRF3,Q14653,Interferon regulatory factor 3,427,47219,Cytoplasm; Nucleus; Mitochondrion,Low,2488.4595703822383
4008,IRGQ,Q8WZA9,Immunity-related GTPase family Q protein,623,62717,,High,195457.34892836335
4009,IRS1,P35568,Insulin receptor substrate 1,1242,131591,,Low  ,
4010,IRS2,Q9Y4H2,Insulin receptor substrate 2,1338,137334,"Cytoplasm, cytosol",Low  ,
4011,IRS4,O14654,Insulin receptor substrate 4,1257,133768,Cell membrane,Medium,
4012,IRX2,Q9BZI1,Iroquois-class homeodomain protein IRX-2,471,49129,Nucleus,Medium,
4013,ISCA1,Q9BUE6,"Iron-sulfur cluster assembly 1 homolog, mitochondrial",129,14179,Mitochondrion,Medium,28958.687659456235
4014,ISCA2,Q86U28,"Iron-sulfur cluster assembly 2 homolog, mitochondrial",154,16476,Mitochondrion,Low,4584.8667061794185
4015,ISCU,Q9H1K1,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial",167,17999,[Isoform 1]: Mitochondrion.;[Isoform 2]: Cytoplasm; Nucleus,Low,4326.9187238045815
4016,ISG15,P05161,Ubiquitin-like protein ISG15,165,17888,Cytoplasm; Secreted,Medium,11444.029217766902
4017,ISG20L2,Q9H9L3,Interferon-stimulated 20 kDa exonuclease-like 2,353,39154,"Nucleus, nucleolus",Low  ,
4018,ISL1,P61371,Insulin gene enhancer protein ISL-1,349,39036,Nucleus,Low,2872.2750928523897
4019,ISL2,Q96A47,Insulin gene enhancer protein ISL-2,359,39768,Nucleus,High,
4020,ISLR,O14498,Immunoglobulin superfamily containing leucine-rich repeat protein,428,45997,Secreted,Medium,
4021,ISLR2,Q6UXK2,Immunoglobulin superfamily containing leucine-rich repeat protein 2,745,78990,Cell membrane,Medium,28774.680082933068
4022,ISOC1,Q96CN7,Isochorismatase domain-containing protein 1,298,32237,,Medium,35441.344167936215
4023,ISOC2,Q96AB3,Isochorismatase domain-containing protein 2,205,22337,Cytoplasm; Nucleus,Medium,16520.27948722413
4024,IST1,P53990,IST1 homolog,364,39751,"Cytoplasmic vesicle; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome; Midbody; Nucleus envelope",High,126764.03980354735
4025,ISY1,Q9ULR0,Pre-mR-splicing factor ISY1 homolog,285,32992,Nucleus,Low,5756.196361285985
4026,ISYNA1,Q9NPH2,Inositol-3-phosphate synthase 1,558,61068,Cytoplasm,High,187319.12353140884
4027,ITCH,Q96J02,E3 ubiquitin-protein ligase Itchy homolog,903,102803,Cell membrane; Cytoplasm; Nucleus; Early endosome membrane; Endosome membrane,Very Low,286.01652928798563
4028,ITFG1,Q8TB96,T-cell immunomodulatory protein,612,68108,Secreted; Membrane,Medium,12465.69949607966
4029,ITFG2,Q969R8,KICSTOR complex protein ITFG2,447,49313,Lysosome membrane,Medium,
4030,ITGA1,P56199,Integrin alpha-1,1179,130848,Membrane; Single-pass type I membrane protein,Medium,
4031,ITGA2,P17301,Integrin alpha-2,1181,129296,Membrane; Single-pass type I membrane protein,Very Low,
4032,ITGA3,P26006,Integrin alpha-3,1051,116612,"Cell membrane; Cell membrane; Cell projection, invadopodium membrane; Cell projection, filopodium membrane",Low  ,1014.6668690626886
4033,ITGA4,P13612,Integrin alpha-4,1032,114900,Membrane; Single-pass type I membrane protein,Low  ,
4034,ITGA5,P08648,Integrin alpha-5,1049,114536,"Membrane; Single-pass type I membrane protein; Cell junction, focal adhesion; Cell surface",High,
4035,ITGA6,P23229,Integrin alpha-6,1130,126606,Cell membrane; Cell membrane,Low,4241.184670281845
4036,ITGA7,Q13683,Integrin alpha-7,1181,128948,Membrane; Single-pass type I membrane protein,Medium,5417.302324584019
4037,ITGA8,P53708,Integrin alpha-8,1063,117474,Membrane; Cell membrane,Very Low,
4038,ITGA9,Q13797,Integrin alpha-9,1035,114489,Membrane,Medium,
4039,ITGAV,P06756,Integrin alpha-V,1048,116038,"Cell membrane; Single-pass type I membrane protein; Cell junction, focal adhesion",Low  ,1072.127221293006
4040,ITGB1,P05556,Integrin beta-1,798,88415,"Cell membrane; Cell projection, invadopodium membrane; Cell projection, ruffle membrane; Recycling endosome; Melanosome; Cleavage furrow; Cell projection, lamellipodium; Cell projection, ruffle; Cell junction, focal adhesion; Cell surface.;[Isoform 5]: Cell membrane, sarcolemma; Cell junction",High,59561.22785235105
4041,ITGB1BP1,O14713,Integrin beta-1-binding protein 1,200,21782,"Nucleus; Cytoplasm; Cytoplasm, cytoskeleton; Cell membrane",Very Low,
4042,ITGB4,P16144,Integrin beta-4,1822,202167,"Cell membrane; Single-pass type I membrane protein; Cell membrane; Lipid-anchor; Cell junction, hemidesmosome",Medium,
4043,ITGB5,P18084,Integrin beta-5,799,88054,Membrane; Single-pass type I membrane protein,Very Low,225.55004472889468
4044,ITGB6,P18564,Integrin beta-6,788,85936,"Membrane; Single-pass type I membrane protein; Cell junction, focal adhesion",Very Low,332.768887406379
4045,ITGB8,P26012,Integrin beta-8,769,85632,Cell membrane,Very Low,
4046,ITIH4,Q14624,Inter-alpha-trypsin inhibitor heavy chain H4,930,103357,Secreted,Medium,7607.1574741969625
4047,ITM2B,Q9Y287,Integral membrane protein 2B,266,30338,"[Integral membrane protein 2B]: Golgi apparatus membrane; Endosome membrane.;[Bri23 peptide]: Secreted.;[BRI2C, soluble form]: Secreted",Medium,10676.90732770938
4048,ITM2C,Q9NQX7,Integral membrane protein 2C,267,30224,Lysosome membrane; Cell membrane,Medium,15549.66024853586
4049,ITPA,Q9BY32,Inosine triphosphate pyrophosphatase,194,21446,Cytoplasm,High,153951.0657718721
4050,ITPK1,Q13572,Inositol-tetrakisphosphate 1-kise,414,45621,,Low,3597.0213604471164
4051,ITPKC,Q96DU7,Inositol-trisphosphate 3-kise C,683,75207,Nucleus; Cytoplasm,Medium,
4052,ITPR1,Q14643,"Inositol 1,4,5-trisphosphate receptor type 1",2758,313929,"Endoplasmic reticulum membrane; Cytoplasmic vesicle, secretory vesicle membrane; Cytoplasm, perinuclear region",Low  ,
4053,ITPR3,Q14573,"Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)",2671,304106,Endoplasmic reticulum membrane; Multi-pass membrane protein,Low  ,
4054,ITPRIP,Q8IWB1,"Inositol 1,4,5-trisphosphate receptor-interacting protein",547,62060,Cell membrane,High,
4055,ITPRIPL2,Q3MIP1,"Inositol 1,4,5-trisphosphate receptor-interacting protein-like 2",535,58446,Membrane; Single-pass type I membrane protein,Low  ,
4056,ITSN1,Q15811,Intersectin-1,1721,195422,"Endomembrane system; Synapse, synaptosome; Cell projection, lamellipodium; Cell membrane; Membrane, clathrin-coated pit; Recycling endosome; Endosome; Cytoplasmic vesicle.;[Isoform 2]: Cytoplasm; Endomembrane system; Nucleus envelope.;[Isoform 5]: Endomembrane system",Medium,13693.48663742662
4057,ITSN2,Q9NZM3,Intersectin-2,1697,193461,Cytoplasm,Low  ,
4058,IVD,P26440,"Isovaleryl-CoA dehydrogese, mitochondrial",426,46651,Mitochondrion matrix,Medium,38217.47367414096
4059,IVNS1ABP,Q9Y6Y0,Influenza virus NS1A-binding protein,642,71729,"Cytoplasm; Cytoplasm, cytoskeleton; Nucleus, nucleoplasm",Low,1230.6518625572794
4060,IWS1,Q96ST2,Protein IWS1 homolog,819,91955,Nucleus,Low,7253.245085528593
4061,JADE3,Q92613,Protein Jade-3,823,93808,,Very Low,
4062,JAG1,P78504,Protein jagged-1,1218,133799,Membrane; Single-pass type I membrane protein; Cell membrane,Very Low,
4063,JAG2,Q9Y219,Protein jagged-2,1238,133367,Membrane; Single-pass type I membrane protein,Medium,
4064,JAGN1,Q8N5M9,Protein jagul homolog 1,183,21125,Endoplasmic reticulum membrane,Medium,9824.459506677098
4065,JAK1,P23458,Tyrosine-protein kise JAK1,1154,133277,Endomembrane system; Peripheral membrane protein,Medium,
4066,JAK2,O60674,Tyrosine-protein kise JAK2,1132,130674,Endomembrane system; Cytoplasm; Nucleus,Medium,
4067,JAKMIP1,Q96N16,Janus kise and microtubule-interacting protein 1,626,73209,"Cytoplasm, cytoskeleton; Membrane; Peripheral membrane protein",High,
4068,JAKMIP2,Q96AA8,Janus kise and microtubule-interacting protein 2,810,94934,Golgi apparatus,Very Low,497.4328474387494
4069,JAKMIP3,Q5VZ66,Janus kise and microtubule-interacting protein 3,844,98529,Golgi apparatus,High,
4070,JAM2,P57087,Junctiol adhesion molecule B,298,33207,"Cell membrane; Cell junction; Cell junction, tight junction",Low,1982.333642847374
4071,JAM3,Q9BX67,Junctiol adhesion molecule C,310,35020,"Cell membrane; Cell junction; Cell junction, desmosome; Cell junction, tight junction.;[Soluble form of JAM-C]: Secreted",Medium,43199.84007379439
4072,JARID2,Q92833,Protein Jumonji,1246,138734,Nucleus,Very Low,
4073,JAZF1,Q86VZ6,Juxtaposed with another zinc finger protein 1,243,27079,Nucleus,Medium,
4074,JCHAIN,P01591,Immunoglobulin J chain (Joining chain of multimeric IgA and IgM),159,18099,Secreted,Very Low,
4075,JMJD1C,Q15652,Probable JmjC domain-containing histone demethylation protein 2C,2540,284525,Nucleus,Low  ,
4076,JMJD4,Q9H9V9,2-oxoglutarate and iron-dependent oxygese JMJD4,463,52493,Cytoplasm,Low  ,
4077,JMJD6,Q6NYC1,Bifunctiol arginine demethylase and lysyl-hydroxylase JMJD6,403,46462,"Nucleus, nucleoplasm; Nucleus, nucleolus; Cytoplasm",Low,3341.8782274939704
4078,JMJD7,P0C870,Bifunctiol peptidase and (3S)-lysyl hydroxylase JMJD7,316,35932,Nucleus; Cytoplasm,Low,2307.9319510329733
4079,JMJD8,Q96S16,JmjC domain-containing protein 8,264,29509,Endoplasmic reticulum lumen; Cytoplasm,Medium,
4080,JMY,Q8N9B5,Junction-mediating and -regulatory protein,988,111445,"Nucleus; Cytoplasmic vesicle; Cytoplasm, cytoskeleton; Endomembrane system; Lipid-anchor; Cytoplasmic vesicle, autophagosome membrane",Medium,
4081,JOSD1,Q15040,Josephin-1,202,23198,Cell membrane; Cytoplasm,High,
4082,JPH1,Q9HDC5,Junctophilin-1,661,71686,Cell membrane; Endoplasmic reticulum membrane; Sarcoplasmic reticulum membrane,Medium,
4083,JPH3,Q8WXH2,Junctophilin-3,748,81469,Cell membrane; Endoplasmic reticulum membrane,Medium,
4084,JPH4,Q96JJ6,Junctophilin-4,628,65861,Cell membrane; Endoplasmic reticulum membrane,High,
4085,JPT1,Q9UK76,Jupiter microtubule associated homolog 1,154,16015,Nucleus; Cytoplasm,High,1958310.6478932016
4086,JPT2,Q9H910,Jupiter microtubule associated homolog 2,190,20063,Cytoplasm; Nucleus,High,588500.3279960804
4087,JRK,O75564,Jerky protein homolog,556,61815,Nucleus,Very Low,
4088,JRKL,Q9Y4A0,Jerky protein homolog-like,524,59912,Nucleus,Low  ,
4089,JTB,O76095,Protein JTB,146,16358,Membrane; Mitochondrion,Medium,8024.67757291341
4090,JUN,P05412,Transcription factor Jun,331,35676,Nucleus,Low,1253.902834578178
4091,JUND,P17535,Transcription factor JunD,347,35174,Nucleus,Low  ,
4092,JUP,P14923,Junction plakoglobin,745,81745,"Cell junction, adherens junction; Cell junction, desmosome; Cytoplasm, cytoskeleton; Membrane",Medium,33024.181693181716
4093,KALRN,O60229,Kalirin,2986,340261,"Cytoplasm; Cytoplasm, cytoskeleton",Low,6597.06543644925
4094,KANK2,Q63ZY3,KN motif and ankyrin repeat domain-containing protein 2,851,91174,Cytoplasm; Mitochondrion,Low  ,
4095,KANSL1,Q7Z3B3,KAT8 regulatory NSL complex subunit 1,1105,120966,"Nucleus; Nucleus; Chromosome, centromere, kinetochore",Low  ,
4096,KANSL2,Q9H9L4,KAT8 regulatory NSL complex subunit 2,492,55042,Nucleus,Low  ,
4097,KANSL3,Q9P2N6,KAT8 regulatory NSL complex subunit 3,904,95992,Nucleus,Medium,
4098,KARS1,Q15046,Lysine--tR ligase,597,68048,"[Isoform Cytoplasmic]: Cytoplasm, cytosol; Cytoplasm; Nucleus; Cell membrane; Secreted.;[Isoform Mitochondrial]: Mitochondrion",High,72868.12846951709
4099,KAT14,Q9H8E8,Cysteine-rich protein 2-binding protein,782,88844,Nucleus; Cytoplasm,Medium,
4100,KAT2A,Q92830,Histone acetyltransferase KAT2A,837,93926,"Nucleus; Chromosome; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",Medium,
4101,KAT2B,Q92831,Histone acetyltransferase KAT2B,832,93013,"Nucleus; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome; Cytoplasm",Low  ,
4102,KAT5,Q92993,Histone acetyltransferase KAT5,513,58582,"Nucleus; Chromosome; Cytoplasm; Chromosome, centromere, kinetochore; Cytoplasm, cytoskeleton, spindle pole; Nucleus, nucleolus; Cytoplasm, perinuclear region",Very Low,291.3060349487434
4103,KAT6A,Q92794,Histone acetyltransferase KAT6A,2004,225028,"Nucleus; Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus, PML body",Low  ,
4104,KAT6B,Q8WYB5,Histone acetyltransferase KAT6B,2073,231378,Nucleus,Medium,
4105,KAT7,O95251,Histone acetyltransferase KAT7,611,70642,"Nucleus; Chromosome; Chromosome, centromere; Cytoplasm, cytosol",Low,3975.6922532660083
4106,KAT8,Q9H7Z6,Histone acetyltransferase KAT8,458,52403,Nucleus; Chromosome,Medium,
4107,KATNA1,O75449,Katanin p60 ATPase-containing subunit A1,491,55965,"Cytoplasm; Midbody; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome; Cytoplasm, cytoskeleton, spindle pole; Cytoplasm, cytoskeleton, spindle",High,
4108,KATNAL1,Q9BW62,Katanin p60 ATPase-containing subunit A-like 1,490,55392,"Cytoplasm, cytoskeleton; Cytoplasm; Cytoplasm, cytoskeleton, spindle pole; Cytoplasm, cytoskeleton, spindle",Medium,12880.201550370643
4109,KATNAL2,Q8IYT4,Katanin p60 ATPase-containing subunit A-like 2,538,61253,"Cytoplasm, cytoskeleton; Cytoplasm; Cytoplasm, cytoskeleton, spindle; Cytoplasm, cytoskeleton, spindle pole",Low  ,
4110,KATNB1,Q9BVA0,Katanin p80 WD40 repeat-containing subunit B1,655,72334,"Cytoplasm; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome; Cytoplasm, cytoskeleton, spindle pole; Cytoplasm, cytoskeleton; Cytoplasm, cytoskeleton, spindle",Medium,25748.910175141704
4111,KATNBL1,Q9H079,KATNB1-like protein 1,304,34767,"Nucleus; Cytoplasm, cytoskeleton, spindle pole",Very Low,
4112,KAZN,Q674X7,Kazrin,775,86351,"Cytoplasm, cytoskeleton",Low,5127.833555396843
4113,KBTBD11,O94819,Kelch repeat and BTB domain-containing protein 11,623,65720,,High,40016.868122158034
4114,KBTBD2,Q8IY47,Kelch repeat and BTB domain-containing protein 2,623,71331,,Low,757.1035226952649
4115,KBTBD4,Q9NVX7,Kelch repeat and BTB domain-containing protein 4,518,58144,,High,
4116,KBTBD6,Q86V97,Kelch repeat and BTB domain-containing protein 6,674,76138,Cytoplasm; Nucleus,Low,3096.070220050457
4117,KBTBD7,Q8WVZ9,Kelch repeat and BTB domain-containing protein 7,684,77163,Cytoplasm; Nucleus,Medium,
4118,KBTBD8,Q8NFY9,Kelch repeat and BTB domain-containing protein 8,601,68823,"Cytoplasm, cytoskeleton, spindle; Golgi apparatus",Low  ,
4119,KCMF1,Q9P0J7,E3 ubiquitin-protein ligase KCMF1,381,41945,,Low,5706.279581589264
4120,KCNA6,P17658,Potassium voltage-gated channel subfamily A member 6 (Voltage-gated potassium channel HBK2) (Voltage-gated potassium channel subunit Kv1.6),529,58729,Cell membrane,Very Low,
4121,KCNAB2,Q13303,Voltage-gated potassium channel subunit beta-2,367,41000,"Cytoplasm; Membrane; Cell membrane; Cell projection, axon; Synapse, synaptosome; Cytoplasm, cytoskeleton",Medium,
4122,KCNB1,Q14721,Potassium voltage-gated channel subfamily B member 1,858,95878,"Cell membrane; Perikaryon; Cell projection, axon; Cell projection, dendrite; Membrane; Multi-pass membrane protein; Postsynaptic cell membrane; Synapse; Synapse, synaptosome; Lateral cell membrane; Cell membrane, sarcolemma",Very Low,
4123,KCNB2,Q92953,Potassium voltage-gated channel subfamily B member 2,911,102563,"Cell membrane; Perikaryon; Cell projection, dendrite",Medium,
4124,KCNC1,P48547,Potassium voltage-gated channel subfamily C member 1,511,57942,"Cell membrane; Cell projection, axon; Presynaptic cell membrane",Medium,
4125,KCNC3,Q14003,Potassium voltage-gated channel subfamily C member 3 (KSHIIID) (Voltage-gated potassium channel subunit Kv3.3),757,80578,"Cell membrane; Presynaptic cell membrane; Perikaryon; Cell projection, axon; Cell projection, dendrite; Cell projection, dendritic spine membrane; Cytoplasm, cell cortex; Cytoplasm, cytoskeleton",High,
4126,KCND1,Q9NSA2,Potassium voltage-gated channel subfamily D member 1,647,71330,"Membrane; Multi-pass membrane protein; Cell projection, dendrite",Very Low,
4127,KCND2,Q9NZV8,Potassium voltage-gated channel subfamily D member 2,630,70537,"Cell membrane; Cell projection, dendrite; Synapse; Perikaryon; Postsynaptic cell membrane; Cell projection, dendritic spine; Cell junction",Very Low,480.29482633457604
4128,KCND3,Q9UK17,Potassium voltage-gated channel subfamily D member 3,655,73451,"Cell membrane; Cell membrane, sarcolemma; Cell projection, dendrite",Medium,
4129,KCNH1,O95259,Potassium voltage-gated channel subfamily H member 1,989,111423,"Cell membrane; Nucleus inner membrane; Cell projection, dendrite; Cell projection, axon; Presynaptic cell membrane; Perikaryon; Postsynaptic density membrane; Early endosome membrane",Very Low,
4130,KCNH2,Q12809,Potassium voltage-gated channel subfamily H member 2,1159,126655,Cell membrane,Medium,
4131,KCNH3,Q9ULD8,Potassium voltage-gated channel subfamily H member 3 (Brain-specific eag-like channel 1) (BEC1) (Ether-a-go-go-like potassium channel 2) (ELK channel 2) (ELK2) (Voltage-gated potassium channel subunit Kv12.2),1083,117129,Membrane; Multi-pass membrane protein,Medium,
4132,KCNH7,Q9NS40,Potassium voltage-gated channel subfamily H member 7 (Ether-a-go-go-related gene potassium channel 3) (ERG-3) (Eag-related protein 3) (Ether-a-go-go-related protein 3) (hERG-3) (Voltage-gated potassium channel subunit Kv11.3),1196,135000,Membrane; Multi-pass membrane protein,Low,963.2093101411415
4133,KCNIP1,Q9NZI2,Kv channel-interacting protein 1,227,26817,"Cell membrane; Cytoplasm; Cell projection, dendrite",Medium,
4134,KCNIP2,Q9NS61,Kv channel-interacting protein 2,270,30907,[Isoform 1]: Cell membrane.;[Isoform 2]: Cell membrane.;[Isoform 6]: Cell membrane,Low  ,
4135,KCNIP4,Q6PIL6,Kv channel-interacting protein 4,250,28729,Cell membrane; Cytoplasm; Peroxisome.;[Isoform 4]: Endoplasmic reticulum,Medium,
4136,KCNJ14,Q9UNX9,ATP-sensitive inward rectifier potassium channel 14,436,47846,Membrane; Multi-pass membrane protein,Low  ,
4137,KCNJ18,B7U540,Inward rectifier potassium channel 18,433,48880,Cell membrane,Low  ,
4138,KCNMA1,Q12791,Calcium-activated potassium channel subunit alpha-1,1236,137560,Cell membrane,Medium,
4139,KCNN3,Q9UGI6,Small conductance calcium-activated potassium channel protein 3,731,81385,Membrane; Multi-pass membrane protein,Low  ,
4140,KCNQ2,O43526,Potassium voltage-gated channel subfamily KQT member 2,872,95848,Cell membrane,Very Low,727.2007384691769
4141,KCNT2,Q6UVM3,Potassium channel subfamily T member 2,1135,130501,Cell membrane,Very Low,
4142,KCT2,Q8NC54,Keratinocyte-associated transmembrane protein 2,265,29235,Membrane,Low,3908.3497838857897
4143,KCTD1,Q719H9,BTB/POZ domain-containing protein KCTD1,257,29405,Nucleus,High,
4144,KCTD10,Q9H3F6,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3,313,35432,Nucleus,Very Low,858.4095316339167
4145,KCTD12,Q96CX2,BTB/POZ domain-containing protein KCTD12,325,35701,Presynaptic cell membrane; Postsynaptic cell membrane,High,51383.108163139965
4146,KCTD13,Q8WZ19,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1,329,36357,Nucleus,Very Low,
4147,KCTD15,Q96SI1,BTB/POZ domain-containing protein KCTD15,283,31942,Nucleus,Very Low,624.589228133569
4148,KCTD16,Q68DU8,BTB/POZ domain-containing protein KCTD16,428,49138,Presynaptic cell membrane; Postsynaptic cell membrane,Low  ,1256.5450527689227
4149,KCTD17,Q8N5Z5,BTB/POZ domain-containing protein KCTD17,321,35670,Cytoplasm,Very Low,
4150,KCTD18,Q6PI47,BTB/POZ domain-containing protein KCTD18,426,46739,,Very Low,
4151,KCTD2,Q14681,BTB/POZ domain-containing protein KCTD2,263,28527,,Medium,
4152,KCTD21,Q4G0X4,BTB/POZ domain-containing protein KCTD21,260,29643,,Low  ,
4153,KCTD3,Q9Y597,BTB/POZ domain-containing protein KCTD3,815,88984,Cell membrane,Low  ,
4154,KCTD5,Q9NXV2,BTB/POZ domain-containing protein KCTD5,234,26093,"Cytoplasm, cytosol; Cytoplasm",Low,4846.205350585027
4155,KCTD6,Q8NC69,BTB/POZ domain-containing protein KCTD6,237,27610,"Cytoplasm, myofibril, sarcomere, M line",Medium,
4156,KCTD7,Q96MP8,BTB/POZ domain-containing protein KCTD7,289,33132,"Cell membrane; Cytoplasm, cytosol",Low  ,
4157,KCTD8,Q6ZWB6,BTB/POZ domain-containing protein KCTD8,473,52440,Presynaptic cell membrane; Postsynaptic cell membrane,Low,2220.394160727238
4158,KCTD9,Q7L273,BTB/POZ domain-containing protein KCTD9,389,42567,,Very Low,373.23945370271247
4159,KDELR1,P24390,ER lumen protein-retaining receptor 1,212,24542,"Golgi apparatus membrane; Cytoplasmic vesicle, COPI-coated vesicle membrane; Endoplasmic reticulum membrane; Endoplasmic reticulum-Golgi intermediate compartment membrane",Medium,26087.54330740891
4160,KDELR2,P33947,ER lumen protein-retaining receptor 2 (ERD2-like protein 1) (ELP-1) (KDEL endoplasmic reticulum protein retention receptor 2) (KDEL receptor 2),212,24422,"Endoplasmic reticulum membrane; Golgi apparatus membrane; Cytoplasmic vesicle, COPI-coated vesicle membrane",Very Low,
4161,KDELR3,O43731,ER lumen protein-retaining receptor 3,214,25027,"Endoplasmic reticulum membrane; Golgi apparatus membrane; Cytoplasmic vesicle, COPI-coated vesicle membrane",Medium,
4162,KDM1A,O60341,Lysine-specific histone demethylase 1A,852,92903,Nucleus,Medium,35051.76615969514
4163,KDM1B,Q8NB78,Lysine-specific histone demethylase 2,822,92098,Nucleus; Chromosome,Very Low,447.02541395475305
4164,KDM2A,Q9Y2K7,Lysine-specific demethylase 2A,1162,132793,"Nucleus, nucleoplasm; Chromosome",High,
4165,KDM2B,Q8NHM5,Lysine-specific demethylase 2B,1336,152615,"Nucleus, nucleolus; Nucleus; Chromosome",Medium,
4166,KDM3A,Q9Y4C1,Lysine-specific demethylase 3A,1321,147341,Cytoplasm; Nucleus,Medium,
4167,KDM3B,Q7LBC6,Lysine-specific demethylase 3B,1761,191581,Nucleus,Medium,9062.412465712374
4168,KDM4A,O75164,Lysine-specific demethylase 4A,1064,120662,Nucleus,Very Low,394.126028222817
4169,KDM4B,O94953,Lysine-specific demethylase 4B,1096,121897,Nucleus,Low,1725.489673138206
4170,KDM4C,Q9H3R0,Lysine-specific demethylase 4C,1056,119982,Nucleus,Low  ,
4171,KDM5A,P29375,Lysine-specific demethylase 5A,1690,192095,"Nucleus, nucleolus; Nucleus",Very Low,303.1843230707953
4172,KDM5B,Q9UGL1,Lysine-specific demethylase 5B,1544,175658,Nucleus,Very Low,660.4507592522755
4173,KDM5C,P41229,Lysine-specific demethylase 5C,1560,175720,Nucleus,Low,1198.2953829959858
4174,KDM5D,Q9BY66,Lysine-specific demethylase 5D,1539,174073,Nucleus,High,
4175,KDM6A,O15550,Lysine-specific demethylase 6A,1401,154177,Nucleus,Low  ,
4176,KDM6B,O15054,Lysine-specific demethylase 6B,1643,176632,Nucleus,Medium,
4177,KDM8,Q8N371,Bifunctiol peptidase and arginyl-hydroxylase JMJD5,416,47270,Nucleus; Chromosome,Medium,
4178,KDSR,Q06136,3-ketodihydrosphingosine reductase,332,36187,Endoplasmic reticulum membrane,Medium,9411.592851991354
