,GeneID,UniProtID,Protein Description,Protein Length (#AA),Protein Mass (Da),Subcellular Location ,Abundance Level,Average Protein Copy Number
5792,OLA1,Q9NTK5,Obg-like ATPase 1,396,44744,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03167, ECO:0000269|PubMed:20053727}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03167, ECO:0000269|PubMed:20053727}. Nucleus, nucleolus {ECO:0000255|HAMAP-Rule:MF_03167, ECO:0000269|PubMed:20053727}. Note=Predominantly cytoplasmic, shuttles between the nucleus and the cytoplasm. {ECO:0000255|HAMAP-Rule:MF_03167}.",High,349030.26940564247
5793,OLFM1,Q99784,Noelin,485,55343,"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:O88998}. Synapse {ECO:0000250|UniProtKB:O88998}. Endoplasmic reticulum {ECO:0000250|UniProtKB:O88998}. Cell projection, axon {ECO:0000250|UniProtKB:O88998}. Perikaryon {ECO:0000250|UniProtKB:O88998}.",Low  ,
5794,OLFM2,O95897,Noelin-2,454,51386,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:21228389}. Synapse {ECO:0000250|UniProtKB:Q8BM13}. Membrane {ECO:0000250|UniProtKB:Q8BM13}. Nucleus {ECO:0000269|PubMed:25298399}. Cytoplasm {ECO:0000269|PubMed:25298399}. Note=Nuclear localization is induced by TGF-beta. {ECO:0000269|PubMed:25298399}.,Low,1175.0138593461509
5795,OLFM3,Q96PB7,Noelin-3,478,54930,SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Synapse {ECO:0000250}.,Low,1046.9057011131295
5796,OLFML2B,Q68BL8,Olfactomedin-like protein 2B,750,83999,SUBCELLULAR LOCATION: Secreted {ECO:0000250}.,Very low,
5797,OLFML3,Q9NRN5,Olfactomedin-like protein 3,406,46010,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:15280020}.,Low  ,
5798,ONECUT1,Q9UBC0,Hepatocyte nuclear factor 6,465,51023,SUBCELLULAR LOCATION: Nucleus.,High,
5799,ONECUT2,O95948,One cut domain family member 2,504,54303,SUBCELLULAR LOCATION: Nucleus.,Low,1021.8937386192138
5800,ONECUT3,O60422,One cut domain family member 3,494,50037,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000255|PROSITE-ProRule:PRU00374}.",Medium,20708.397157813415
5801,OPA1,O60313,"Dymin-like 120 kDa protein, mitochondrial",960,111631,"SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11017079, ECO:0000269|PubMed:16778770, ECO:0000269|PubMed:20974897, ECO:0000269|PubMed:28746876}; Single-pass membrane protein {ECO:0000255}. Mitochondrion intermembrane space {ECO:0000250|UniProtKB:P58281}. Mitochondrion membrane {ECO:0000269|PubMed:24616225}. Note=Detected at contact sites between endoplasmic reticulum and mitochondrion membranes. {ECO:0000269|PubMed:24616225}.",High,83890.79922754384
5802,OPA3,Q9H6K4,Optic atrophy 3 protein,179,19996,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.,High,
5803,OPCML,Q14982,Opioid-binding protein/cell adhesion molecule,345,38008,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}.",Medium,29790.24988623795
5804,OPHN1,O60890,Oligophrenin-1,802,91641,"SUBCELLULAR LOCATION: Postsynapse {ECO:0000250|UniProtKB:P0CAX5}. Presynapse {ECO:0000250|UniProtKB:P0CAX5}. Cell projection, axon {ECO:0000250|UniProtKB:P0CAX5}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:P0CAX5}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q99J31}. Cytoplasm {ECO:0000250|UniProtKB:Q99J31}.",High,
5805,OPLAH,O14841,5-oxoprolise,1288,137457,,Medium,
5806,OPTN,Q96CV9,Optineurin,577,65922,"SUBCELLULAR LOCATION: Cytoplasm, perinuclear region. Golgi apparatus {ECO:0000269|PubMed:10807909, ECO:0000269|PubMed:20085643, ECO:0000269|PubMed:20174559, ECO:0000269|PubMed:27534431, ECO:0000269|PubMed:27538435}. Golgi apparatus, trans-Golgi network. Cytoplasmic vesicle, autophagosome. Cytoplasmic vesicle. Recycling endosome {ECO:0000269|PubMed:20085643}. Note=Found in the perinuclear region and associates with the Golgi apparatus (PubMed:27534431). Colocalizes with MYO6 and RAB8 at the Golgi complex and in vesicular structures close to the plasma membrane. Localizes to LC3-positive cytoplasmic vesicles upon induction of autophagy. {ECO:0000269|PubMed:27534431}.",Medium,11366.359818996703
5807,OR1E3,Q8WZA6,Olfactory receptor 1E3 (Olfactory receptor 17-210) (OR17-210) (Olfactory receptor OR17-7),343,38518,SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.,Low,2250.186812938865
5808,OR4D6,Q8NGJ1,Olfactory receptor 4D6,314,35954,SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.,Very low,
5809,OR5K1,Q8NHB7,Olfactory receptor 5K1 (HTPCRX10) (Olfactory receptor OR3-8),308,35185,SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.,Medium,
5810,OR5T2,Q8NGG2,Olfactory receptor 5T2 (Olfactory receptor OR11-177),359,40696,SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.,Very low,
5811,OR6C1,Q96RD1,Olfactory receptor 6C1 (OST267),312,35660,SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.,Very low,
5812,OR6C76,A6NM76,Olfactory receptor 6C76,312,35119,SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.,Very low,
5813,ORAI1,Q96D31,Calcium release-activated calcium channel protein 1,301,32668,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16582901, ECO:0000269|PubMed:16645049, ECO:0000269|PubMed:19249086, ECO:0000269|PubMed:20887894, ECO:0000269|PubMed:22641696, ECO:0000269|PubMed:23307288, ECO:0000269|PubMed:24351972, ECO:0000269|PubMed:26956484, ECO:0000269|PubMed:27185316, ECO:0000269|PubMed:28058752, ECO:0000269|PubMed:28219928}; Multi-pass membrane protein {ECO:0000269|PubMed:16582901, ECO:0000269|PubMed:16645049, ECO:0000269|PubMed:19249086, ECO:0000269|PubMed:22641696, ECO:0000269|PubMed:24351972}. Basolateral cell membrane {ECO:0000250|UniProtKB:Q8BWG9}; Multi-pass membrane protein {ECO:0000269|PubMed:19249086}. Note=Isoform beta is more mobile in the plasma membrane (PubMed:23307288). Colocalizes with STIM1 at the cell membrane (PubMed:27185316). {ECO:0000269|PubMed:23307288, ECO:0000269|PubMed:27185316}.",Very low,
5814,ORC1,Q13415,Origin recognition complex subunit 1,861,97350,SUBCELLULAR LOCATION: Nucleus.,Very low,
5815,ORC2,Q13416,Origin recognition complex subunit 2,577,65972,SUBCELLULAR LOCATION: Nucleus.,Medium,
5816,ORC3,Q9UBD5,Origin recognition complex subunit 3,711,82254,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:31160578}. Chromosome {ECO:0000269|PubMed:31160578}.,Very low,531.0363573336602
5817,ORC4,O43929,Origin recognition complex subunit 4,436,50377,SUBCELLULAR LOCATION: Nucleus.,Low,1678.7629269848217
5818,ORC5,O43913,Origin recognition complex subunit 5,435,50283,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:31160578}. Chromosome {ECO:0000269|PubMed:31160578}.,Very low,878.508722253762
5819,ORC6,Q9Y5N6,Origin recognition complex subunit 6,252,28107,SUBCELLULAR LOCATION: Nucleus.,Low  ,
5820,ORMDL1,Q9P0S3,ORM1-like protein 1,153,17371,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12093374}; Multi-pass membrane protein {ECO:0000269|PubMed:12093374}.,High,
5821,ORMDL2,Q53FV1,ORM1-like protein 2,153,17363,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12093374}; Multi-pass membrane protein {ECO:0000269|PubMed:12093374}.,Medium,36347.18964643137
5822,ORMDL3,Q8N138,ORM1-like protein 3,153,17495,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12093374, ECO:0000269|PubMed:19819884}; Multi-pass membrane protein {ECO:0000269|PubMed:12093374, ECO:0000269|PubMed:19819884}.",Medium,12963.275959468325
5823,OS9,Q13438,Protein OS-9,667,75562,"SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:18264092, ECO:0000269|PubMed:18417469, ECO:0000269|PubMed:19084021}.",Low,2136.1369159122
5824,OSBP,P22059,Oxysterol-binding protein 1,807,89421,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:24209621, ECO:0000269|PubMed:29514919}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:24209621}. Golgi apparatus membrane; Peripheral membrane protein {ECO:0000269|PubMed:24209621}. Endoplasmic reticulum membrane; Peripheral membrane protein {ECO:0000269|PubMed:24209621}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:29514919}. Note=Predominantly cytosolic. {ECO:0000269|PubMed:24209621}.",Medium,46830.60698591356
5825,OSBP2,Q969R2,Oxysterol-binding protein 2,916,101266,SUBCELLULAR LOCATION: Membrane; Peripheral membrane protein.,Low  ,
5826,OSBPL10,Q9BXB5,Oxysterol-binding protein-related protein 10,764,83970,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19554302, ECO:0000269|PubMed:22906437}. Note=Associates with microtubules. {ECO:0000269|PubMed:19554302, ECO:0000269|PubMed:22906437}.",Low  ,1208.0094315208744
5827,OSBPL11,Q9BXB4,Oxysterol-binding protein-related protein 11,747,83643,"SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000269|PubMed:20599956}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:20599956}. Note=Localizes at the Golgi-late endosome interface.",Low,3308.2485437276355
5828,OSBPL1A,Q9BXW6,Oxysterol-binding protein-related protein 1,950,108470,"SUBCELLULAR LOCATION: Late endosome {ECO:0000269|PubMed:16176980, ECO:0000269|PubMed:29858488}. Note=Colocalizes with RAB7A, RAB9A and LAMP1 in late endosomes.",Very Low,153.2274497519495
5829,OSBPL2,Q9H1P3,Oxysterol-binding protein-related protein 2,480,55201,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:19224871, ECO:0000269|PubMed:30581148}. Lipid droplet {ECO:0000269|PubMed:19224871}. Cell membrane {ECO:0000269|PubMed:30581148}; Peripheral membrane protein {ECO:0000269|PubMed:30581148}; Cytoplasmic side {ECO:0000269|PubMed:30581148}. Note=Detected on the surface of cytosolic lipid droplets (PubMed:19224871). Recruited to the cell membrane by phosphatidylinositol-phosphate binding (PubMed:30581148). {ECO:0000269|PubMed:19224871, ECO:0000269|PubMed:30581148}.",Low,2943.1536731246742
5830,OSBPL3,Q9H4L5,Oxysterol-binding protein-related protein 3,887,101224,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:16143324}; Peripheral membrane protein {ECO:0000269|PubMed:16143324}. Cytoplasm, cytosol {ECO:0000269|PubMed:16143324}. Cell membrane {ECO:0000269|PubMed:14593528, ECO:0000269|PubMed:16143324, ECO:0000269|PubMed:18270267, ECO:0000269|PubMed:25447204}; Peripheral membrane protein {ECO:0000269|PubMed:14593528, ECO:0000269|PubMed:16143324, ECO:0000269|PubMed:18270267, ECO:0000269|PubMed:25447204}. Cell projection, filopodium tip {ECO:0000269|PubMed:18270267}. Nucleus membrane {ECO:0000269|PubMed:16143324}; Peripheral membrane protein {ECO:0000305}. Note=Co-localizes with OSBPL6 at contact sites between the plasma membrane and the endoplasmic reticulum. {ECO:0000250|UniProtKB:Q9DBS9}.",Medium,
5831,OSBPL5,Q9H0X9,Oxysterol-binding protein-related protein 5,879,98616,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:21220512, ECO:0000269|PubMed:26206935}; Single-pass membrane protein {ECO:0000269|PubMed:21220512}. Note=Localizes to endoplasmic reticulum-plasma membrane contact sites (EPCS). Localizes to the cortical endoplasmic reticulum at the EPCS. {ECO:0000269|PubMed:26206935, ECO:0000269|PubMed:30220461}.",Very low,506.3530646810194
5832,OSBPL6,Q9BZF3,Oxysterol-binding protein-related protein 6,934,106306,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:14593528, ECO:0000269|PubMed:30028970}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:14593528, ECO:0000269|PubMed:26941018, ECO:0000269|PubMed:30028970}; Peripheral membrane protein {ECO:0000305}. Nucleus envelope {ECO:0000269|PubMed:14593528}. Cell membrane {ECO:0000269|PubMed:14593528, ECO:0000269|PubMed:30028970}; Peripheral membrane protein {ECO:0000305}. Endosome membrane {ECO:0000269|PubMed:26941018}; Peripheral membrane protein {ECO:0000305}. Note=Co-localizes with OSBPL3 at contact sites between the plasma membrane and the endoplasmic reticulum. {ECO:0000250|UniProtKB:Q8BXR9}.",Low,1686.6953790855434
5833,OSBPL8,Q9BZF1,Oxysterol-binding protein-related protein 8,889,101196,"SUBCELLULAR LOCATION: [Isoform 1]: Endoplasmic reticulum membrane {ECO:0000269|PubMed:17991739, ECO:0000269|PubMed:26206935}; Single-pass membrane protein {ECO:0000269|PubMed:17991739}. Nucleus membrane {ECO:0000269|PubMed:21698267}. Note=The presence of the N-terminus extension contains an overall negative charge that may explain the weak localization to the cortical endoplasmic reticulum (Probable). {ECO:0000305|PubMed:26206935}.; SUBCELLULAR LOCATION: [Isoform 3]: Endoplasmic reticulum membrane {ECO:0000269|PubMed:26206935}; Single-pass membrane protein. Note=Localizes to the cortical endoplasmic reticulum at the endoplasmic reticulum-plasma membrane contact sites. {ECO:0000269|PubMed:26206935}.",High,144108.19039035556
5834,OSBPL9,Q96SU4,Oxysterol-binding protein-related protein 9,736,83185,"SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000269|PubMed:20599956}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:20599956}. Note=Localizes at the Golgi-late endosome interface.",Low,5404.983783310077
5835,OSCP1,Q8WVF1,Protein OSCP1,389,44586,SUBCELLULAR LOCATION: Basal cell membrane. Note=Syncytiotrophoblast in placenta.,High,
5836,OSGEP,Q9NPF4,tR N6-adenosine threonylcarbamoyltransferase,335,36427,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03180, ECO:0000269|PubMed:28805828}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03180, ECO:0000269|PubMed:22912744, ECO:0000269|PubMed:28805828}.",Medium,28033.37221898365
5837,OSGEPL1,Q9H4B0,"tR N6-adenosine threonylcarbamoyltransferase, mitochondrial",414,45123,"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03179, ECO:0000269|PubMed:19694617, ECO:0000269|PubMed:29760464}.",Very low,550.6338622595439
5838,OSMR,Q99650,Oncostatin-M-specific receptor subunit beta,979,110509,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.,Very low,
5839,OSTC,Q9NRP0,Oligosaccharyltransferase complex subunit OSTC,149,16829,SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:21768116}. Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,Medium,14137.522989074292
5840,OSTF1,Q92882,Osteoclast-stimulating factor 1,214,23787,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,Medium,11129.255112400564
5841,OSTM1,Q86WC4,Osteopetrosis-associated transmembrane protein 1,334,37257,SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:21527911}; Single-pass type I membrane protein {ECO:0000269|PubMed:21527911}. Note=Requires CLCN7 to travel to lysosomes.,Low,2564.7185376461575
5842,OTC,P00480,"Ornithine transcarbamylase, mitochondrial",354,39935,SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:3895227}.,Low,2040.2172953971044
5843,OTOG,Q6ZRI0,Otogelin,2925,314794,"SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:O55225}; Peripheral membrane protein {ECO:0000250|UniProtKB:O55225}; Extracellular side {ECO:0000250|UniProtKB:O55225}. Secreted, extracellular space {ECO:0000250|UniProtKB:O55225}. Note=Found in fiber-like structures during the maturation process of the tectorial membrane. {ECO:0000250|UniProtKB:O55225}.",Low  ,
5844,OTUB1,Q96FW1,Ubiquitin thioesterase OTUB1,271,31284,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,High,348326.16456806345
5845,OTUB2,Q96DC9,Ubiquitin thioesterase OTUB2,234,27213,,Low  ,
5846,OTUD3,Q5T2D3,OTU domain-containing protein 3,398,45124,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:35675826}. Nucleus {ECO:0000269|PubMed:35675826}. Note=Glucose or fatty acid promote nuclear translocation upon acetylation. {ECO:0000269|PubMed:35675826}.,Medium,
5847,OTUD4,Q01804,OTU domain-containing protein 4,1114,124045,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:25944111}. Nucleus {ECO:0000269|PubMed:25944111}. Note=Primarily cytoplasmic. {ECO:0000269|PubMed:25944111}.,Low,2190.5659619625276
5848,OTUD5,Q96G74,OTU domain-containing protein 5,571,60626,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:33523931}.,Low  ,
5849,OTUD6B,Q8N6M0,Deubiquitise OTUD6B,293,33813,,Medium,14127.55569929392
5850,OTUD7A,Q8TE49,OTU domain-containing protein 7A,926,100677,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.,Medium,
5851,OTUD7B,Q6GQQ9,OTU domain-containing protein 7B,843,92526,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11463333, ECO:0000269|PubMed:21888622}. Nucleus {ECO:0000269|PubMed:21888622}. Note=Shuttles be cytoplasm and the nucleus in a XPO1/CRM1-dependent manner. {ECO:0000269|PubMed:21888622}.",Medium,
5852,OTULIN,Q96BN8,Ubiquitin thioesterase otulin,352,40263,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23746843}.,Low,4136.57896819537
5853,OTULINL,Q9NUU6,Ictive ubiquitin thioesterase OTULINL,356,42196,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:31056421}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:31056421}; Peripheral membrane protein {ECO:0000269|PubMed:31056421}. Nucleus envelope {ECO:0000269|PubMed:31056421}.,Medium,
5854,OVCA2,Q8WZ82,Esterase OVCA2,227,24418,,Medium,12693.131985793983
5855,OXA1L,Q15070,Mitochondrial inner membrane protein OXA1L,435,48548,SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:17936786}; Multi-pass membrane protein {ECO:0000269|PubMed:17936786}.,Medium,16550.2253671772
5856,OXCT1,P55809,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",520,56158,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:B2GV06}.,High,131782.37288800432
5857,OXLD1,Q5BKU9,Oxidoreductase-like domain-containing protein 1,147,15855,,Low  ,
5858,OXNAD1,Q96HP4,Oxidoreductase D-binding domain-containing protein 1,312,34854,,Low,3573.58228629536
5859,OXR1,Q8N573,Oxidation resistance protein 1,874,97970,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:15060142}.,Low,4061.4611440338713
5860,OXSM,Q9NWU1,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",459,48843,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:15668256}.,Low,4042.7537409058205
5861,OXSR1,O95747,Serine/threonine-protein kise OSR1,527,58022,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22361696}.,High,86871.62894487372
5862,P2RX3,P56373,P2X purinoceptor 3,397,44289,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:27626375}; Multi-pass membrane protein {ECO:0000269|PubMed:27626375}.,High,119269.915326404
5863,P2RX4,Q99571,P2X purinoceptor 4,388,43369,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10515189, ECO:0000269|PubMed:23303206, ECO:0000269|PubMed:28326637}; Multi-pass membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:24817123}; Multi-pass membrane protein {ECO:0000255}.",Low  ,
5864,P3H1,Q32P28,Prolyl 3-hydroxylase 1,736,83394,"SUBCELLULAR LOCATION: [Isoform 1]: Endoplasmic reticulum {ECO:0000269|PubMed:19088120}.; SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q9R1J8}. Note=Secreted into the extracellular matrix as a chondroitin sulfate proteoglycan (CSPG). {ECO:0000250|UniProtKB:Q9R1J8}.",Low,3133.09975221081
5865,P3H2,Q8IVL5,Prolyl 3-hydroxylase 2,708,80984,"SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000255|PROSITE-ProRule:PRU10138, ECO:0000269|PubMed:15063763}. Sarcoplasmic reticulum {ECO:0000305|PubMed:15063763}. Golgi apparatus {ECO:0000269|PubMed:15063763}.",Medium,
5866,P3H3,Q8IVL6,Prolyl 3-hydroxylase 3,736,81837,SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000255|PROSITE-ProRule:PRU10138}.,Very low,384.12710792111767
5867,P3H4,Q92791,Endoplasmic reticulum protein SC65,437,50381,SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:23959653}.,Medium,
5868,P4HA1,P13674,Prolyl 4-hydroxylase subunit alpha-1,534,61049,SUBCELLULAR LOCATION: Endoplasmic reticulum lumen.,Medium,21228.972862949788
5869,P4HA2,O15460,Prolyl 4-hydroxylase subunit alpha-2,535,60902,SUBCELLULAR LOCATION: Endoplasmic reticulum lumen.,Low,2478.4393747332433
5870,P4HB,P07237,Protein disulfide-isomerase,508,57116,"SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:23475612, ECO:0000269|PubMed:32149426}. Endoplasmic reticulum lumen {ECO:0000269|PubMed:10636893, ECO:0000269|PubMed:23475612}. Melanosome {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}. Cell membrane {ECO:0000269|PubMed:21670307}; Peripheral membrane protein {ECO:0000305}. Note=Highly abundant. In some cell types, seems to be also secreted or associated with the plasma membrane, where it undergoes constant shedding and replacement from intracellular sources (Probable). Localizes near CD4-enriched regions on lymphoid cell surfaces (PubMed:11181151). Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:10636893). Colocalizes with MTTP in the endoplasmic reticulum (PubMed:23475612). {ECO:0000269|PubMed:10636893, ECO:0000269|PubMed:11181151, ECO:0000269|PubMed:23475612, ECO:0000305}.",High,507963.6995200579
5871,P4HTM,Q9NXG6,Transmembrane prolyl 4-hydroxylase,502,56661,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12163023, ECO:0000269|PubMed:17726031}; Single-pass type II membrane protein {ECO:0000269|PubMed:12163023, ECO:0000269|PubMed:17726031}.",Low,3509.9954154172965
5872,PA2G4,Q9UQ80,Proliferation-associated protein 2G4,394,43787,"SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000269|PubMed:16832058, ECO:0000269|PubMed:19037095}. Nucleus, nucleolus {ECO:0000269|PubMed:16832058, ECO:0000269|PubMed:19037095}. Note=Translocates to the nucleus upon treatment with HRG. Phosphorylation at Ser-361 by PKC/PRKCD regulates its nucleolar localization. {ECO:0000269|PubMed:16832058}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:16832058, ECO:0000269|PubMed:19037095}.",High,594216.6110881907
5873,PAAF1,Q9BRP4,Proteasomal ATPase-associated factor 1,392,42190,,Low,8374.004126886894
5874,PAAT,Q9H8K7,ATPase PAAT,445,49249,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:25063848}. Mitochondrion {ECO:0000269|PubMed:25063848}.,Medium,
5875,PABIR1,Q96E09,PPP2R1A-PPP2R2A-interacting phosphatase regulator 1,287,30529,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:33108758}. Cytoplasm {ECO:0000269|PubMed:33108758}. Note=The CHEK1-mediated Ser-37 phosphorylated form is sequestered by 14-3-3 proteins in the cytoplasm and fails to translocate to the nucleus, where it otherwise inhibits serine/threonine-protein phosphatase 2A. {ECO:0000269|PubMed:33108758}.",Medium,
5876,PABIR2,Q7Z309,PABIR family member 2,247,26928,,Low  ,
5877,PABPC1,P11940,Polyadenylate-binding protein 1,636,70671,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20573744, ECO:0000269|PubMed:21883093, ECO:0000269|PubMed:28733330, ECO:0000269|PubMed:31649314, ECO:0000269|PubMed:7908267, ECO:0000269|PubMed:9582337}. Cytoplasm, Stress granule {ECO:0000269|PubMed:21883093, ECO:0000269|PubMed:22872150, ECO:0000269|PubMed:27573237}. Nucleus {ECO:0000269|PubMed:18799579, ECO:0000269|PubMed:9582337}. Cell projection, lamellipodium {ECO:0000269|PubMed:28733330}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs (PubMed:17289661). Shuttles between the cytoplasm and the nucleus (PubMed:9582337). During stress and in the absence of DDX3X, localizes to the nucleus (PubMed:21883093). At the leading edge of migrating fibroblasts, colocalizes with DDX3X (PubMed:28733330). Relocalizes to cytoplasmic stress granules upon cellular stress where it colocalizes with ENDOV (PubMed:27573237). In case of HRSV infection, localizes in cytoplasmic inclusion bodies substructures called inclusion bodies associated granules (IBAGs) (PubMed:31649314). {ECO:0000269|PubMed:17289661, ECO:0000269|PubMed:21883093, ECO:0000269|PubMed:28733330, ECO:0000269|PubMed:31649314, ECO:0000269|PubMed:9582337}.",High,357137.06556329515
5878,PABPC1L,Q4VXU2,Polyadenylate-binding protein 1-like,614,68392,,Very low,498.53884475206735
5879,PABPC1L2A,Q5JQF8,Polyadenylate-binding protein 1-like 2,200,22799,,High,
5880,PABPC4,Q13310,Polyadenylate-binding protein 4,644,70783,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17289661}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs.,High,90322.31312518628
5881,PABPC5,Q96DU9,Polyadenylate-binding protein 5,382,43331,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion matrix {ECO:0000269|PubMed:23275553}. Note=Co-fractionates with mtDNA and co-immunoprecipitates with the mitochondrial poly(A) polymerase.,Medium,
